sender,sender_type,sender_id,timestamp,meta,,choice,consent,diff_net_value,duration,ended_on,gain_color,left,left_side,loss_color,not_choice,picture_left,picture_right,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,responded,response,response_action,right,right_side,switch_sides,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-15T12:20:18.126Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"",""platform"":""MacIntel"",""language"":""de"",""locale"":""de-CH"",""timeZone"":""Europe/Zurich"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":894,""window_innerWidth"":1920,""window_innerHeight"":942,""devicePixelRatio"":2}",,,,,2300.2799999999997,response,yellow,,,blue,,,,,0,0,0,0,0,0,0,,Continue,click #Continue,,,,7897,7889,5560.96,5516,5588.72,7922.24,100,100,{}
consent,html.Form,0_1,2022-07-15T12:20:37.834Z,,,,true,,19680.760000000002,form submission,,,,,,,,,,,,,,,,,,,,,,27604,27603,7896.44,7897,7922.24,27606.04,,,
ProlificID,html.Form,0_2,2022-07-15T12:20:49.224Z,,,,,,11387.96,form submission,,,,,,,,,,,,,,,,,,,,,,38994,38994,27594.36,27605,27606.04,39005.18,,,
instructions,html.Form,0_3,2022-07-15T12:20:58.357Z,,,,,,9121.82,form submission,,,,,,,,,,,,,,,,,,,,,,48127,48127,38992.74,38995,39005.18,48155.78,,,
Practice,canvas.Screen,0_4,2022-07-15T12:21:02.021Z,,,,,,3613.220000000001,response,,,,,,,,,,,,,,,,,space,keypress(Space),,,,51791,51769,48124.52,48127,48155.78,51805.08,,,
fixation,canvas.Screen,0_5_0_0,2022-07-15T12:21:02.540Z,,,,,9,533.2200000000012,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,true,52310,52289.14,51788.7,51792,51805.08,52338.3,,,
stimulus,canvas.Screen,0_5_0_1,2022-07-15T12:21:05.571Z,,,,,9,3016.6800000000003,timeout,,0.53,0.485,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.53blue1yellowb%3D1w%3D100v%3D88.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D88.png,,,,,,,,,,,,0.485,0.53,true,55341,55321.78,52289.14,52311,52338.3,55354.98,,,
choice,canvas.Screen,0_5_0_2,2022-07-15T12:21:05.577Z,,,0,,9,NaN,skipped,,,0.485,,0,,,0,,,,,,,0,false,timeout,,,0.53,true,55347,55321.78,,55347,,55354.98,,100,
timeout,canvas.Screen,0_5_0_3,2022-07-15T12:21:07.584Z,,,,,9,1999.699999999997,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,true,57354,57339.08,55321.78,55348,55354.98,57354.68,,,
ITI,canvas.Screen,0_5_0_4,2022-07-15T12:21:08.085Z,,,,,9,516.7200000000012,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,true,57855,57839.08,57339.08,57354,57354.68,57871.4,,,
trial,flow.Sequence,0_5_0,2022-07-15T12:21:08.086Z,,,,,9,6034,completion,,,0.485,,,,,,,,,,,,,,,,,0.53,true,57855,57839.08,51788.7,51792,51805.08,57871.4,,,
fixation,canvas.Screen,0_5_1_0,2022-07-15T12:21:08.600Z,,,,,6,499.90000000000146,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,false,58370,58354.92,57839.08,57855,57871.4,58371.3,,,